School,Latitude,Longitude
Fairfax Elementary School,41.4926963,-81.5658982
Ada Elementary School,40.7747376,-83.8294826
Centerburg High School,40.294354,-82.705479
Davey Elementary School,41.1576828,-81.3670015
Chambers Elementary School,41.5408925,-81.5832041
Chestnut Intermediate Elementary School,41.3990777,-81.9532042
East Canton High School,40.7893435,-81.2791758
Toth Elementary School,41.5537307,-83.6216234
Badger High School,41.4137132,-80.5794299
Belpre High School,39.2750849,-81.5771012
Blanchester Middle School,39.299119,-83.9675636
Botkins High School,40.4688865,-84.1796144
Buckeye Elementary School,40.9133641,-80.8594869
Cambridge Middle School,40.0514871,-81.5829546
Cedarwood Alternative Elementary School,39.884089,-82.979327
Swanton Middle School,41.5844508,-83.8937494
Fairview-Clifton German Language School,39.1494666,-84.5196793
Bellefontaine High School,40.3482931,-83.7535323
Bryan Elementary,41.458431,-84.5689529
East Elementary School,40.4886994,-81.4365683
Judith A Resnik Community Learning Center,41.1171692,-81.5832927
Berea-Midpark Middle School,41.3778995,-81.8048339
Arcadia High School,41.1064685,-83.5150996
Bexley High School,39.963655,-82.9303272
Bridgetown Middle School,39.1603573,-84.6283725
Shaker Hts Middle School,41.4773421,-81.5334151
Louise Troy Elementary School,39.7369594,-84.2251626
London MIddle School,39.9072364,-83.4531607
Cheviot School,39.1587027,-84.617203
Clinton-Massie High School,39.4466924,-83.9851733
Norwayne Middle School,40.965294,-81.9029819
Waverly Primary School,39.1318936,-83.0023416
Edgewater Elementary School,41.7216689,-83.4704284
Elida High School,40.7897771,-84.195762
Atkinson Elementary School,41.3367052,-83.1001732
East Liverpool High School,40.6277331,-80.5676996
Elida Middle School,40.7874998,-84.1874185
Burroughs Elementary School,39.943889,-83.0677648
Glenwood Middle School,41.0610764,-83.6490864
Clearcreek Elementary School,39.5470479,-84.232431
Elmwood Middle School,41.255188,-83.5520465
Pike-Delta-York Middle School,41.5804288,-83.9944482
Dundee Elementary School,40.5852994,-81.6083806
Allen East Elementary School,40.733796,-83.931273
First Step Preschool and Daycare,41.357433,-81.770396
Austintown Middle School,41.091889,-80.733631
Brimfield Elementary School,41.103686,-81.3437178
Harrison Central Jr./Sr. High School,40.2689332,-80.9922728
Canfield High School,41.028398,-80.7732256
Case Community Learning Center,41.1164386,-81.5648523
Ella Canavan Elementary School,41.126736,-81.870718
Findley Community Learning Center,41.1027272,-81.5172619
Auburn Elementary School,40.8838529,-82.6734484
Bowling Green Middle School,41.3885291,-83.6577274
Bucyrus Secondary School,40.813664,-82.9899949
East Palestine High School,40.8399626,-80.5461021
Edwards Middle School,41.2345437,-81.8406721
South Central Elementary School,41.0490696,-82.5189741
Westlake Elementary School,41.4476223,-81.9268054
Bethel Tate High School,38.9628625,-84.0644854
William Bruce Elementary School,39.749397,-84.626022
Zane Trace Elementary School,39.4277482,-82.9375514
John Clem Elementary School,40.071441,-82.425421
Denver Place Elementary School,39.4548906,-83.8231876
Frederick Douglass School,39.1282823,-84.4864267
Eastern High School,39.0301061,-82.842278
Federal Hocking High School,39.3119524,-81.879507
Winton Woods Intermediate School,39.2824448,-84.5047089
Franklin Elementary School,41.3558311,-82.1132979
Berlin Elementary School,40.5611806,-81.8013412
Cardinal Middle School,41.468427,-81.06439
Cedar Elementary School,40.794529,-81.4066915
Chase School,39.1620656,-84.5429411
Claymont Middle School,40.3944809,-81.3451839
Northwestern Middle School,40.8920016,-82.1073689
Cory-Rawson High School,40.937742,-83.805496
Crestview Elementary School,40.9167516,-84.7016126
Danville High School,40.4473063,-82.2616398
Dominion Middle School,40.0540678,-83.0102037
Buhrer,41.4682218,-81.6946085
Col Crawford High School,40.786122,-82.853832
Byrnedale Elementary School,41.610385,-83.629547
Antwerp Local Elementary School,41.1782454,-84.729434
Ridge Elementary School,41.6546165,-81.3582455
Fairfield Central Elementary School,39.3413293,-84.5335803
Clara E Westropp School,41.4334621,-81.831315
Chippewa Intermediate School,40.9613859,-81.6923256
Jacob Coy Middle School,39.7136721,-84.0013572
Frazeysburg Elementary School,40.1196751,-82.1135171
Adlai Stevenson School,41.454865,-81.5509811
Berne Union High School,39.629482,-82.545978
Buchtel High School,41.086213,-81.559941
Conotton Valley High School,40.46303,-81.218821
David Anderson Jr/Sr High School,40.7754336,-80.7725341
East End Elementary School,39.4471354,-83.8153239
Milkovich Middle School,41.414399,-81.540225
Edison Elementary School,40.8792427,-82.3295046
Adena Elementary School,39.4156613,-83.1946156
Fort Frye High School,39.5475769,-81.6316783
Bloomfield High School,41.46428,-80.87187
Brookfield Elementary School,41.2257896,-80.5614223
Fairfax Elementary School,41.694015,-81.3486719
Ada High School,40.7747376,-83.8294826
Amanda-Clearcreek High School,39.6496392,-82.7348828
Paint Valley Middle School,39.2440211,-83.215769
Brookview Elementary School,41.4044558,-81.7926478
Streetsboro Elementary School,41.2342713,-81.3221934
Carrollton High School-Carrollton Middle School,40.5732645,-81.0825369
Clinton Elementary School ,40.0307579,-83.0150723
Lakeside Junior High School,41.8429402,-80.8247404
Devonshire Alternative Elementary School,40.094615,-82.982995
Greenville Elementary School,40.115764,-84.6147152
Blanchester High School,39.2989859,-83.9696138
Buckeye High School,41.189708,-81.926195
Cambridge High School,40.0523679,-81.5831952
Cherry Valley Elementary School,40.0501135,-82.4403219
Charles W Springmyer Elementary School,39.168692,-84.653675
Coldwater High School,40.4820542,-84.6300194
Andrew J Rickoff ,41.4629998,-81.5793387
Chaney High,41.0923299,-80.6957107
Riverdale Elementary School,40.86896,-83.517611
Adamsville Elementary School,40.06602,-81.881849
West Clermont Middle School,39.0610523,-84.22981
Aurora High School,41.3101271,-81.3508443
Bay High School,41.48693,-81.943396
River Valley Middle School ,38.9180103,-82.2824671
Clough Pike Elementary School,39.0912624,-84.2936909
Crestview Elementary School,41.26819,-81.787026
Dan Emmett Elementary School,40.4078583,-82.4863591
Edgewood Middle School,40.8321678,-81.9332319
Elmwood Elementary School,41.41795,-81.6055916
Fairview High School,41.4423345,-81.8556896
Hubbard Mastery School ,39.9787782,-83.0072236
Seneca East Elementary,41.0788637,-82.9154244
Columbia High School,41.311195,-81.923732
Edon High School,41.558151,-84.781086
Beaver Local High School,40.7106482,-80.6303345
Colerain Middle School,39.2388974,-84.6138387
Midview West Elementary School,41.2987569,-82.0562398
Evening Street Elementary School,40.0915831,-83.022711
West Elementary,39.2722774,-82.6093438
Newton Falls Elementary School,41.1775205,-80.9569514
Celina Middle School,40.5561408,-84.5615102
Central Academy Nongraded Elementary School,39.5160562,-84.3477272
Charles Dickens School,41.4563438,-81.5917462
Amanda-Clearcreek Primary School,39.6516548,-82.7385053
East Elementary School,40.3916252,-82.4724411
Eastern Heights Middle School,41.3632692,-82.0901606
Avery Elementary School,40.0418337,-83.1551009
Beachwood High School,41.4832969,-81.5011991
Binns Elementary School,39.9324582,-83.0796735
Tuscarawas Valley Intermediate,40.6546036,-81.4502175
Malabar Intermediate School,40.7304088,-82.5197144
Southwestern Elementary School,38.8242807,-82.4017564
Cassingham Elementary School,39.9647438,-82.9301311
Deer Park  Jr/Sr High School,39.210576,-84.3994274
Finland Elementary School,39.9197497,-83.0409222
Fostoria Junior/Senior High School,41.169419,-83.4324676
Timmons Elementary School,41.394432,-81.301112
Budd Elementary School,40.6351216,-82.2314614
Fairfield Local Elementary School,39.3288078,-83.5466597
Alton Hall Elementary School,39.9292746,-83.1768748
Bataan Memorial Primary School,41.506259,-82.9508075
Bethel High School,39.9190184,-84.0862684
Brecksville-Broadview Heights High School,41.3272432,-81.6444337
Burroughs Elementary School,41.6314088,-83.6019967
Cardinal High School,41.4658302,-81.0677218
Clermont Northeastern High School,39.1305534,-84.1063538
Covington Elementary School,40.1191699,-84.342006
Duxberry Park Alternative Elementary School,40.0089486,-82.9612036
St. Marys East Primary School,40.551791,-84.381148
Eaton High School,39.7331336,-84.6486044
Elm Avenue Elementary School,39.220632,-84.470357
Englewood Elementary School,39.8717008,-84.3003762
Euclid Park Elementary School,41.5534043,-81.5529824
Franklin Monroe High School,39.981471,-84.48178
Asbury Elementary School,39.901705,-82.865156
Gorsuch West Elementary School,39.7105193,-82.6270894
Defiance High School,41.2640775,-84.3596269
Ontario Primary School,41.873992,-80.8161238
Crouse Community Learning Center,41.0768277,-81.5529152
Upper Scioto Valley Middle School,40.691297,-83.7880098
Antwerp Local High School,41.1782454,-84.729434
Bath Elementary School,41.169929,-81.63836
Butler Middle School,39.9953422,-84.5488362
C H Campbell Elementary School,41.0344347,-80.7734853
Eastmont Elementary School,39.7373992,-84.1124232
Fernway Elementary School,41.4709562,-81.5573288
Adrian Elementary School,41.531023,-81.526137
Lakeside High School,41.84373,-80.819577
Ballard Brady Middle School,41.456301,-81.450813
Buckeye Central High School,40.951189,-82.846877
Liberty Elementary School,40.626421,-82.965134
Edison Elementary School,39.7580925,-84.2141001
Franklin High School,39.5537677,-84.2872926
Anderson High School,39.06943,-84.3474924
Warren Middle School,39.3989962,-81.6649008
Miami Trace Middle School,39.5953588,-83.5126719
Alfred Benesch,41.4937331,-81.6524248
Claymont High School,40.4139038,-81.3648614
Dueber Elementary School,40.7942091,-81.3945399
Edison Elementary School,41.61911,-81.435494
Crestview Middle School,40.8453988,-80.6687759
Baker Elementary School,41.223431,-80.67173
Gearity Professional Development School,41.4956469,-81.5259566
Jonathan Alder Junior High,40.0677225,-83.291814
Dater Montessori School,39.1347767,-84.6029649
Columbus Grove Elementary School,40.9216636,-84.0560854
Coolville Elementary School,39.2221193,-81.794868
Chesapeake Middle School,38.4228513,-82.4823916
Elmhurst Elementary School,41.6999191,-83.6140146
Fairview Elementary School,39.7903856,-84.2293131
Boulevard Elementary School,41.481176,-81.57777
Buckeye Middle School,39.9027214,-82.9849737
Camden Primary School,39.6315777,-84.6491385
Cridersville Elementary School,40.6491322,-84.1498204
Massillon Junior High School,40.7876237,-81.5627616
Brookside Intermediate School,41.467061,-82.096422
Berry Intermediate School,39.4388077,-84.2096818
Brown Middle School,41.157705,-81.2638602
Mason Middle School,39.3459311,-84.3085088
Dorr Street Elementary School,41.6527643,-83.7239399
Fassett Junior High  School,41.6451546,-83.4751908
Forest Elementary School,40.035914,-84.1998394
Amesville Elementary School,39.4004436,-81.955612
Belle Haven Elementary School,39.7991706,-84.2628764
C O Harrison Elementary School,39.103303,-84.6388088
Starling PK-8,39.9545978,-83.038571
Dixie High School,39.7418726,-84.4026789
