PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL,LATITUDE,LONGITUDE
Townhouse,7690 Peyton St NW,Massillon,OH,44646,106000,4,2,Sahara Sands Allotment 03,1647,16117,1968,80,64,,Active,,,http://www.redfin.com/OH/Massillon/7690-Peyton-St-NW-44646/home/100800126,40.8282001,-81.4949357
Townhouse,7655 Peyton St NW,Massillon,OH,44646,129900,4,2,Sahara Sands Allotment 03,1647,11325,1967,84,79,,Active,,,http://www.redfin.com/OH/Massillon/7655-Peyton-St-NW-44646/home/100800157,40.8286565,-81.4942067
Single Family Residential,242 State Ave NE,Massillon,OH,44646,74900,3,1,Massillon,1203,6098,1928,84,62,,Active,,,http://www.redfin.com/OH/Massillon/242-State-Ave-NE-44646/home/66348253,40.804703,-81.5214699
Vacant Land,V/L Southway St SW,Massillon,OH,44646,25000,,,Westwood,,24829,,86,,,Active,,,http://www.redfin.com/OH/Massillon/V-L-Southway-St-SW-44646/home/164549955,40.782565,-81.460819
Single Family Residential,9085 Emerald Isle St NW,Canal Fulton,OH,44614,540000,4,4.5,Emerald Estates Ph I,4971,41382,2011,96,109,25,Active,,,http://www.redfin.com/OH/Canal-Fulton/9085-Emerald-Isle-St-NW-44614/home/100809458,40.8901633,-81.5187974
Vacant Land,9458 Emerald Isle St NW,Canal Fulton,OH,44614,129000,,,Emerald Estates #13,,45302,,98,,25,Active,,,http://www.redfin.com/OH/Canal-Fulton/9458-Emerald-Isle-St-NW-44614/home/113156735,40.8896613,-81.5260713
Townhouse,2711 Erie Ave SW,Massillon,OH,44662,139900,5,3,Massillon,2486,20037,1906,100,56,,Active,,,http://www.redfin.com/OH/Navarre/2711-Erie-Ave-SW-44662/home/66612482,40.76961,-81.51604
Vacant Land,2713 Ashwell Ave SW,Massillon,OH,44646,49900,,,Bishop Mdws 01,,21780,,106,,8,Active,,,http://www.redfin.com/OH/Massillon/2713-Ashwell-Ave-SW-44646/home/100788296,40.7683642,-81.4713284
Single Family Residential,1865 Bloominghills Pl SE,Massillon,OH,44646,169900,3,2,Massillon,1277,7405,2019,107,133,,Active,,,http://www.redfin.com/OH/Massillon/1865-Blooming-Hills-Pl-SE-44646/home/75793944,40.7755807,-81.5090662
Single Family Residential,1219 Burd Ave NE,Massillon,OH,44646,267500,4,3,Massillon,3828,37026,1963,109,70,,Active,,,http://www.redfin.com/OH/Massillon/1219-Burd-Ave-NE-44646/home/66295051,40.8206675,-81.5081568
Single Family Residential,7653 Lutz Ave NW,Massillon,OH,44646,399900,4,4.5,Massillon,4635,30056,1994,109,86,,Active,,,http://www.redfin.com/OH/Massillon/7653-Lutz-Ave-NW-44646/home/75732052,40.8918154,-81.5186045
Single Family Residential,7890 Greenwich Blvd NW,Massillon,OH,44646,624000,4,3.5,Greenwich Place,5018,42253,2013,112,124,46,Active,,,http://www.redfin.com/OH/Massillon/7890-Greenwich-Blvd-44646/home/100790285,40.8699034,-81.4983021
Vacant Land,Lot10 Orchard Hill Cir NE,Massillon,OH,44646,29900,,,Orchard Hill,,12196,,112,,,Active,,,http://www.redfin.com/OH/Massillon/Lot-10-Orchard-Hill-Cir-NE-44646/home/144899812,40.808204,-81.49738
Vacant Land,lot9 Orchard Hill Cir,Massillon,OH,44646,35500,,,Orchard Hill,,16552,,112,,,Active,,,http://www.redfin.com/OH/Massillon/9-Orchard-Hill-Cir-NE-44646/home/90362459,40.8087086,-81.4975133
Vacant Land,9493 Emerald Isle St NW,Canal Fulton,OH,44614,159000,,,The Reserve at Emerald Estates,,96703,,112,,25,Active,,,http://www.redfin.com/OH/Canal-Fulton/9493-Emerald-Isle-St-NW-44614/home/113156312,40.8909268,-81.5264797
Single Family Residential,8242 Keswick Court Cir NW,Massillon,OH,44646,439000,5,4,Carrington,4680,16552,1998,112,94,15,Active,,,http://www.redfin.com/OH/Massillon/8242-Keswick-Ct-Cir-NW-44646/home/75803640,40.8704873,-81.5038124
Single Family Residential,1841 Wales Rd NE,Massillon,OH,44646,369900,3,2,Massillon,1992,17424,2018,114,186,,Active,,,http://www.redfin.com/OH/Massillon/1841-Wales-Rd-NE-44646/home/164331146,40.8186745,-81.5058867
Vacant Land,9474 Emerald Isle St NW,Canal Fulton,OH,44614,149000,,,The Woods at Emerald Reserve,,76665,,116,,25,Active,,,http://www.redfin.com/OH/Canal-Fulton/9474-Emerald-Isle-St-NW-44614/home/113108314,40.8897438,-81.5270359
Single Family Residential,9467 Emerald Isle St NW,Canal Fulton,OH,44614,698794,4,3.5,The Woods at Emerald Estates,4456,44866,2019,116,157,25,Active,,,http://www.redfin.com/OH/Canal-Fulton/9467-Emerald-Isle-St-NW-44614/home/113156813,40.8904971,-81.5258226
Single Family Residential,759 11th St SE,Massillon,OH,44646,79500,2,1.5,City/Massillon,,3920,1898,127,,,Active,,,http://www.redfin.com/OH/Massillon/759-11th-St-SE-44646/home/75798614,40.7881867,-81.5119162
Vacant Land,Barrington Cir SE,Massillon,OH,44646,25000,,,Gray Rdg Estates 01,,20037,,128,,2,Active,,,http://www.redfin.com/OH/Massillon/Barrington-Cir-SE-44646/home/66718999,40.788568,-81.483698
Vacant Land,Sickels Cir SE,Massillon,OH,44646,25000,,,Gray Rdg Estates 01,,14810,,128,,2,Active,,,http://www.redfin.com/OH/Massillon/Sickels-Cir-SE-44646/home/100789196,40.788122,-81.483358
Vacant Land,Starr Ridge St SE,Massillon,OH,44646,25000,,,Gray Rdg Estates 01,,7840,,128,,2,Active,,,http://www.redfin.com/OH/Massillon/Starr-Ridge-St-SE-44646/home/100789201,40.786567,-81.48443
Vacant Land,27th St SE,Massillon,OH,44646,195000,,,Massillon,,668210,,128,,,Active,,,http://www.redfin.com/OH/Massillon/27th-St-SE-44646/home/66714249,40.793321,-81.484141
Single Family Residential,416 State Ave NE,Massillon,OH,44646,94900,3,2,Massillon,1522,6969,1898,128,62,,Active,,,http://www.redfin.com/OH/Massillon/416-State-Ave-NE-44646/home/66369112,40.8046411,-81.5199015
Single Family Residential,1330 Arapahoe Rd SE,Massillon,OH,44646,49900,3,1,Massillon,900,6534,1944,128,55,,Active,,,http://www.redfin.com/OH/Massillon/1330-Arapahoe-Rd-SE-44646/home/100797491,40.7806556,-81.5035551
Vacant Land,135 Westland Ave NW,Massillon,OH,44646,28000,,,Westland Park,,6098,,134,,,Active,,,http://www.redfin.com/OH/Massillon/135-Westland-Ave-NW-44646/home/66277450,40.794236,-81.457072
Single Family Residential,6649 Wales Ave NW,Massillon,OH,44646,399900,3,1.5,Massillon,1720,124146,1982,136,233,,Active,,,http://www.redfin.com/OH/Massillon/6649-Wales-Ave-NW-44646/home/100789333,40.8773801,-81.480806
Single Family Residential,5591 Nettlecreek Ave NW,Massillon,OH,44646,514000,6,4.5,Buckingham Place,5113,20473,2001,140,101,,Active,,,http://www.redfin.com/OH/Massillon/5591-Nettlecreek-Ave-NW-44646/home/66751319,40.8622249,-81.5061279
Single Family Residential,8324 Audubon St NW,Massillon,OH,44646,289900,4,2.5,Audubon Ridge,2886,13503,1994,150,100,,Active,,,http://www.redfin.com/OH/Massillon/8324-Audubon-St-NW-44646/home/66534767,40.8433468,-81.5061814
Vacant Land,#6 Portage St NW,Massillon,OH,44646,239000,,,The Manors at Portage,,223462,,151,,292,Active,,,http://www.redfin.com/OH/Massillon/6-Portage-St-NW-44646/home/160535456,40.881673,-81.510022
Vacant Land,Lutz Ave NW,Massillon,OH,44646,74900,,,Massillon,,24393,,151,,,Active,,,http://www.redfin.com/OH/Massillon/Lutz-Ave-NW-44646/home/75745478,40.893358,-81.518431
Vacant Land,9502 Emerald Isle St NW,Canal Fulton,OH,44614,199000,,,Reserve at Emerald Estate,,153331,,154,,25,Active,,,http://www.redfin.com/OH/Canal-Fulton/9502-Emerald-Isle-St-NW-44614/home/113156278,40.8904561,-81.5274289
Vacant Land,Greenwich Blvd NW,Massillon,OH,44646,155000,,,Greenwich Place,,39204,,155,,38,Active,,,http://www.redfin.com/OH/Jackson-Township/Greenwich-Blvd-44646/home/100790280,40.868904,-81.498272
Single Family Residential,7929 Greenwich Blvd NW,Massillon,OH,44646,1200000,5,6,Greenwich Place,6558,31363,2013,158,183,38,Active,,,http://www.redfin.com/OH/Massillon/7929-Greenwich-Blvd-44646/home/66724332,40.8693519,-81.4993313
Vacant Land,Clubview St NW,Massillon,OH,44646,92500,,,Rolling Green Estates,,22651,,177,,,Active,,,http://www.redfin.com/OH/MASSILLON/CLUBVIEW-ST-NW-44646/home/160587414,40.888521,-81.516162
Vacant Land,Clubview St NW,Massillon,OH,44646,92500,,,Rolling Green Estates,,23522,,177,,,Active,,,http://www.redfin.com/OH/MASSILLON/CLUBVIEW-ST-NW-44646/home/160587417,40.888493,-81.515763
Vacant Land,Clubview St NW,Massillon,OH,44646,95500,,,Rolling Green Estates,,27007,,177,,,Active,,,http://www.redfin.com/OH/MASSILLON/CLUBVIEW-ST-NW-44646/home/160587408,40.888465,-81.515351
Vacant Land,Greenview Ave NW,Massillon,OH,44646,94500,,,Rolling Green Estates,,20473,,177,,,Active,,,http://www.redfin.com/OH/Massillon/Ohio-Ave-NW-44646/home/66218987,40.852915,-81.501576
Vacant Land,Clubview St NW,Massillon,OH,44646,90500,,,Rolling Green Estates,,24829,,182,,,Active,,,http://www.redfin.com/OH/MASSILLON/CLUBVIEW-ST-NW-44646/home/160587416,40.887729,-81.515398
Vacant Land,Rolling Green Ave NW,Massillon,OH,44646,124900,,,Rolling Green Estates,,74052,,182,,,Active,,,http://www.redfin.com/OH/Jackson-Township/Rolling-Green-Ave-NW-44646/home/160587388,40.887692,-81.513012
Vacant Land,Clubview St NW,Massillon,OH,44646,79900,,,Rolling Green Estates,,24829,,182,,,Active,,,http://www.redfin.com/OH/MASSILLON/CLUBVIEW-ST-NW-44646/home/160587389,40.888556,-81.518006
Vacant Land,Clubview St NW,Massillon,OH,44646,85500,,,Rolling Green Estates,,20473,,182,,,Active,,,http://www.redfin.com/OH/MASSILLON/CLUBVIEW-ST-NW-44646/home/160587386,40.888547,-81.516903
Vacant Land,Clubview St NW,Massillon,OH,44646,91500,,,Rolling Green Estates,,25264,,182,,,Active,,,http://www.redfin.com/OH/MASSILLON/CLUBVIEW-ST-NW-44646/home/144830751,40.887809,-81.516828
Vacant Land,Clubview St NW,Massillon,OH,44646,79900,,,Rolling Green Estates,,22215,,182,,,Active,,,http://www.redfin.com/OH/MASSILLON/CLUBVIEW-ST-NW-44646/home/144278990,40.88779,-81.518037
Single Family Residential,8722 Scotsbury Gln,Massillon,OH,44646,465000,3,2,Scotsbury Meadows,2332,,2016,211,199,10,Active,July-28-2019 02:00 PM,July-28-2019 04:00 PM,http://www.redfin.com/OH/Massillon/8722-Scotsbury-Glen-St-NW-44646/home/100810293,40.8563688,-81.5126237
Vacant Land,Kilkenny Cir NW,Massillon,OH,44646,57500,,,Wexford Estates,,33105,,249,,,Active,,,http://www.redfin.com/OH/Jackson-Township/Kilkenny-Cir-NW-44646/home/75756530,40.872963,-81.497675
Townhouse,874 Wales Rd NE,Massillon,OH,44646,44900,3,2,Massillon,1488,6098,1900,281,30,,Active,,,http://www.redfin.com/OH/Massillon/874-Wales-Rd-NE-44646/home/66343539,40.8061436,-81.5092982
Vacant Land,1825 Bloominghills Pl SE,Massillon,OH,44646,19900,,,Massillon,,,,308,,,Active,,,http://www.redfin.com/OH/Massillon/1825-Bloominghills-PL-SE-44646/home/166751123,40.776326,-81.509325
Vacant Land,1845 Bloominghills Pl SE,Massillon,OH,44646,19900,,,Massillon,,,,308,,,Active,,,http://www.redfin.com/OH/MASSILLON/1845-BLOOMINGHILLS-PL-SE-44646/home/75793941,40.775999,-81.509345
Vacant Land,1870 Bloominghills Pl SE,Massillon,OH,44646,19900,,,Massillon,,,,308,,,Active,,,http://www.redfin.com/OH/Massillon/1870-Blooming-Hills-Pl-SE-44646/home/75793949,40.7755095,-81.5087031
Vacant Land,1840 Bloominghills Pl SE,Massillon,OH,44646,19900,,,Massillon,,,,308,,,Active,,,http://www.redfin.com/OH/MASSILLON/1840-BLOOMINGHILLS-PL-SE-44646/home/75770958,40.775986,-81.50875
Vacant Land,1820 Bloominghills Pl SE,Massillon,OH,44646,19900,,,Massillon,,,,308,,,Active,,,http://www.redfin.com/OH/Massillon/1820-Blooming-Hills-Pl-SE-44646/home/164332880,40.7762698,-81.5087364
Vacant Land,1875 Bloominghills Pl SE,Massillon,OH,44646,19900,,,Massillon,,,,308,,,Active,,,http://www.redfin.com/OH/Massillon/1875-Blooming-Hills-Pl-SE-44646/home/75793938,40.7754565,-81.5090647
Vacant Land,1895 Bloominghills Pl SE,Massillon,OH,44646,19900,,,Massillon,,,,308,,,Active,,,http://www.redfin.com/OH/MASSILLON/1895-BLOOMINGHILLS-PL-SE-44646/home/75770956,40.775103,-81.509286
Vacant Land,1885 Bloominghills Pl SE,Massillon,OH,44646,19900,,,Massillon,,,,308,,,Active,,,http://www.redfin.com/OH/MASSILLON/1885-BLOOMINGHILLS-PL-SE-44646/home/75770955,40.775258,-81.509463
Vacant Land,1860 Bloominghills Pl SE,Massillon,OH,44646,19900,,,Massillon,,,,308,,,Active,,,http://www.redfin.com/OH/MASSILLON/1860-BLOOMINGHILLS-PL-SE-44646/home/75793950,40.775657,-81.508769
Vacant Land,1880 Bloominghills Pl SE,Massillon,OH,44646,19900,,,Massillon,,,,308,,,Active,,,http://www.redfin.com/OH/Massillon/1880-Greentree-Pl-SE-44646/home/66520264,40.7752663,-81.5077143
Vacant Land,1830 Bloominghills Pl SE,Massillon,OH,44646,19900,,,Massillon,,,,308,,,Active,,,http://www.redfin.com/OH/Massillon/1830-Blooming-Hills-Pl-SE-44646/home/75770960,40.7759931,-81.5087097
Vacant Land,1835 Bloominghills Pl SE,Massillon,OH,44646,19900,,,Massillon,,,,308,,,Active,,,http://www.redfin.com/OH/Massillon/1835-Bloominghills-PL-SE-44646/home/166751105,40.776172,-81.509336
Vacant Land,15390 Candell St SE,Massillon,OH,44646,15900,,,Massillon,,,,308,,,Active,,,http://www.redfin.com/OH/Unknown/15390-Candell-Ave-SW-44646/home/147151382,40.773227,-81.504084
Vacant Land,Forest Ave SE,Massillon,OH,44646,14900,,,Massillon,,,,308,,,Active,,,http://www.redfin.com/OH/Massillon/Forest-Ave-SE-44646/home/75814841,40.776572,-81.509186
Vacant Land,7872 Greenwich Blvd NW,Massillon,OH,44646,115000,,,Massillon,,54450,,336,,,Active,,,http://www.redfin.com/OH/Massillon/7872-Greenwich-Blvd-44646/home/66724334,40.8702203,-81.4982867
Vacant Land,Lot #223 Ashwell Ct,Green,OH,44685,90000,,,Kings Ridge,,19166,,396,,13,Active,,,http://www.redfin.com/OH/Green/Lot-223-Ashwell-Ct-44685/home/146103840,40.769851,-81.471301
Vacant Land,Lot #221 Ashwell Ct,Green,OH,44685,88500,,,Kings Ridge,,14374,,396,,13,Active,,,http://www.redfin.com/OH/Green/Lot-221-Ashwell-Ct-44685/home/146103800,40.769851,-81.471301
Vacant Land,Lot #220 Ashwell Ct,Green,OH,44685,89500,,,Kings Ridge,,13939,,396,,13,Active,,,http://www.redfin.com/OH/Green/Lot-220-Ashwell-Ct-44685/home/146104117,40.769851,-81.471301
Vacant Land,Lot #209 Ashwell Ct,Green,OH,44685,88500,,,Kings Ridge,,18295,,399,,13,Active,,,http://www.redfin.com/OH/Green/Lot-209-Ashwell-Ct-44685/home/146088896,40.769851,-81.471301
Vacant Land,Fairgrove Ave,Massillon,OH,44646,16000,,,Massillon,,,,518,,,Active,,,http://www.redfin.com/OH/Massillon/Fairgrove-Ave-SW-44646/home/75791480,40.748738,-81.481267
Vacant Land,Fairgrove Ave,Massillon,OH,44646,16000,,,Massillon,,,,518,,,Active,,,http://www.redfin.com/OH/Massillon/Fairgrove-Ave-SW-44646/home/75791482,40.748408,-81.481288
Vacant Land,Serenity Dr NW,Massillon,OH,44646,30000,,,Serenity Shores Condo,,,,806,,100,Active,,,http://www.redfin.com/OH/Jackson-Township/Serenity-Dr-NW-44646/unit-2/home/66726224,40.859686,-81.511033
Vacant Land,Putney Ct,Massillon,OH,44646,55000,,,Carrington,,12632,,1424,,289,Active,,,http://www.redfin.com/OH/Jackson-Township/Putney-Ct-Cir-NW-44646/home/75767350,40.870483,-81.50782
Vacant Land,6372 Massachusetts Ave SE,Massillon,OH,44646,4000,,,Massillon,,4791,,1604,,,Active,,,http://www.redfin.com/OH/Massillon/6372-Massachusetts-Ave-SE-44646/home/146247707,40.796687,-81.502585
Vacant Land,Rolling Green Ave NW,Massillon,OH,44646,50000,,,Fairways at Rolling Green,,17424,,1604,,10,Active,,,http://www.redfin.com/OH/Jackson-Township/Rolling-Green-Ave-NW-44646/home/100790138,40.89026,-81.512334
Single Family Residential,4467 Samuel Ct NW,Massillon,OH,44647,192850,4,3,Massillon,1918,9760,2018,104,101,,Active,,,http://www.redfin.com/OH/Massillon/4467-Samuel-Ct-NW-44647/home/161733591,40.7967262,-81.5215073
Multi-Family (2-4 Unit),1245 Huron Rd SE,Massillon,OH,44646,47000,4,2,Massillon,1500,3200,1946,114,31,,Active,,,http://www.redfin.com/OH/Massillon/1245-Huron-Rd-SE-44646/home/66584037,40.7824125,-81.5012824
Single Family Residential,4452 Carnation Ave,Cincinnati,OH,45238,175000,3,2,Covedale,1550,10934,1923,22,113,,Active,,,http://www.redfin.com/OH/Cincinnati/4452-Carnation-Ave-45238/home/78918572,39.1075784,-84.5977414
Single Family Residential,1724 Hillfred Ln,Cincinnati,OH,45238,110875,2,1.5,Covedale,987,,1957,1,112,,Active,,,http://www.redfin.com/OH/Cincinnati/1724-Hillfred-Ln-45238/home/100973462,39.1212506,-84.5920953
Single Family Residential,41 Anderson Ferry Rd,Cincinnati,OH,45238,45000,3,1,Riverside,812,4704,1931,3,55,,Active,,,http://www.redfin.com/OH/Cincinnati/41-Anderson-Ferry-Rd-45238/home/78837405,39.0790656,-84.6220145
Single Family Residential,463 Viscount Dr,Delhi Twp,OH,45238,182000,4,2.5,Delhi Twp.,1872,,1964,3,97,,Active,,,http://www.redfin.com/OH/Cincinnati/463-Viscount-Dr-45238/home/101010194,39.0968322,-84.6263487
Single Family Residential,43 Anderson Ferry Rd,Cincinnati,OH,45238,55000,3,1,Riverside,914,,1930,3,60,,Active,,,http://www.redfin.com/OH/Cincinnati/43-Anderson-Ferry-Rd-45238/home/100968098,39.0791467,-84.6220145
Single Family Residential,1867 Sylved Ln,Green Twp,OH,45238,159900,4,2,Green Twp.,2161,10280,1951,3,74,,Active,July-28-2019 12:00 AM,July-28-2019 11:59 PM,http://www.redfin.com/OH/Cincinnati/1867-Sylved-Ln-45238/home/101015930,39.1261601,-84.6225257
Single Family Residential,5311 Rawhide Ct,Delhi Twp,OH,45238,175000,4,2,Delhi Twp.,1689,7187,1961,3,104,,Active,,,http://www.redfin.com/OH/Cincinnati/5311-Rawhide-Ct-45238/home/76081289,39.1178067,-84.6211967
Single Family Residential,5394 Palisades Dr,Delhi Twp,OH,45238,250000,3,2.5,Delhi Twp.,2844,43168,1969,3,88,,Active,July-28-2019 12:00 AM,July-28-2019 11:59 PM,http://www.redfin.com/OH/Cincinnati/5394-Palisades-Dr-45238/home/101010408,39.0856167,-84.6241816
Single Family Residential,4988 Cleves Warsaw Park,Cincinnati,OH,45238,137500,3,2.5,Covedale,1850,8799,1930,3,74,,Active,,,http://www.redfin.com/OH/Cincinnati/4988-Cleves-Warsaw-Pike-45238/home/100973947,39.1188461,-84.6041838
Multi-Family (2-4 Unit),1136 Betty Ln,Delhi Twp,OH,45238,159900,4,2,Delhi Twp.,,6098,,4,,,Active,,,http://www.redfin.com/OH/Cincinnati/1136-Betty-Ln-45238/home/101009231,39.1173631,-84.6080694
Single Family Residential,5014 West High St,Cincinnati,OH,45211,103500,3,1,Covedale,1084,,1934,4,95,,Active,July-28-2019 12:00 AM,July-28-2019 11:59 PM,http://www.redfin.com/OH/Cincinnati/5014-W-High-St-45238/home/100973849,39.1257251,-84.6047565
Single Family Residential,2175 Woodmere Ct,Green Twp,OH,45238,110000,3,1,Green Twp.,1432,,1954,4,77,,Active,July-28-2019 12:00 AM,July-28-2019 11:59 PM,http://www.redfin.com/OH/Cincinnati/2175-Woodmere-Ct-45238/home/101015782,39.1308942,-84.6198984
Single Family Residential,4392 Glenhaven Rd,Delhi Twp,OH,45238,135000,4,2.5,Delhi Twp.,1752,10367,1967,6,77,,Active,,,http://www.redfin.com/OH/Cincinnati/4392-Glenhaven-Rd-45238/home/76154157,39.088628,-84.596728
Single Family Residential,5226 Ostenhill Ct,Delhi Twp,OH,45238,169900,4,2.5,Delhi Twp.,2490,8625,1997,7,68,,Active,,,http://www.redfin.com/OH/Cincinnati/5226-Ostenhill-Ct-45238/home/76168679,39.0879127,-84.6167804
Single Family Residential,1025 Hickok Ln,Delhi Twp,OH,45238,135000,3,1,Delhi Twp.,1290,,1962,7,105,,Active,,,http://www.redfin.com/OH/Cincinnati/1025-Hickok-Ln-45238/home/78869874,39.1138875,-84.6254696
Multi-Family (2-4 Unit),5048 Rapid Run Rd,Cincinnati,OH,45238,135000,4,2,Covedale,,5184,1946,7,,,Active,,,http://www.redfin.com/OH/Cincinnati/5048-Rapid-Run-Rd-45238/home/100973078,39.1108755,-84.6062586
Single Family Residential,4873 N Overlook Ave,Cincinnati,OH,45238,55000,3,1,Covedale,928,,1929,8,59,,Active,,,http://www.redfin.com/OH/Cincinnati/4873-N-Overlook-Ave-45238/home/76074209,39.1219149,-84.5995208
Single Family Residential,2632 Queen City Ave,Cincinnati,OH,45238,79900,4,2,Westwood,1770,,1929,9,45,,Active,,,http://www.redfin.com/OH/Cincinnati/2632-Queen-City-Ave-45238/home/78878840,39.1308233,-84.5905208
Vacant Land,4121 Hunnicutt Dr,Delhi Twp,OH,45238,10000,,,Delhi Twp.,,12197,,9,,,Active,,,http://www.redfin.com/OH/Cincinnati/4121-Hunnicutt-Ln-45238/home/78992577,39.094612,-84.58928
Single Family Residential,1523 Anderson Ferry Rd,Green Twp,OH,45238,279900,3,4,Green Twp.,3295,33977,1983,11,85,42,Active,,,http://www.redfin.com/OH/Cincinnati/1523-Anderson-Ferry-Rd-45238/home/78738802,39.1212557,-84.6167225
Single Family Residential,4947 Western Hills Ave,Cincinnati,OH,45238,125000,3,2,Covedale,1432,8189,1928,13,87,,Active,,,http://www.redfin.com/OH/Cincinnati/4947-Western-Hills-Ave-45238/home/78827547,39.1212153,-84.6036849
Single Family Residential,3035 Sandra Pl,Cincinnati,OH,45238,149900,3,1.5,Westwood,1669,15682,1954,14,90,,Active,,,http://www.redfin.com/OH/Cincinnati/3035-Sandra-Pl-45238/home/100979585,39.1378873,-84.6029977
Single Family Residential,5166 Orangelawn Dr,Delhi Twp,OH,45238,210000,4,2.5,Delhi Twp.,2058,8233,1961,14,102,,Active,,,http://www.redfin.com/OH/Cincinnati/5166-Orangelawn-Dr-45238/home/76154095,39.0889619,-84.6148993
Multi-Family (2-4 Unit),3124 Westbrook Dr,Cincinnati,OH,45238,134900,4,2,Westwood,2128,,1961,17,63,,Active,,,http://www.redfin.com/OH/Cincinnati/3124-Westbrook-Dr-45238/home/78972771,39.1394898,-84.6058371
Single Family Residential,5168 Ralph Ave,Green Twp,OH,45238,148000,4,2.5,Covedale,2023,6055,1935,18,73,,Active,,,http://www.redfin.com/OH/Cincinnati/5168-Ralph-Ave-45238/home/78778844,39.1212773,-84.6098485
Single Family Residential,2415 Nova Ave,Cincinnati,OH,45238,125000,2,1,Westwood,888,,1941,24,141,,Active,,,http://www.redfin.com/OH/Cincinnati/2415-Nova-Ave-45238/home/63717445,39.1311773,-84.6067095
Single Family Residential,3071 Veazey Ave,Cincinnati,OH,45238,82900,4,2,Westwood,,,1948,28,,,Active,,,http://www.redfin.com/OH/Cincinnati/3071-Veazey-Ave-45238/home/78901529,39.1315953,-84.6036751
Single Family Residential,675 Pedretti Ave,Cincinnati,OH,45238,136900,3,2,Price Hill,1403,,1934,29,98,,Active,,,http://www.redfin.com/OH/Cincinnati/675-Pedretti-Ave-45238/home/76074312,39.1065944,-84.5988254
Vacant Land,4301 Delryan Dr,Delhi Twp,OH,45238,10000,,,Delhi Twp.,,6970,,29,,,Active,,,http://www.redfin.com/OH/Cincinnati/4301-Delryan-Dr-45238/home/76105687,39.0899601,-84.5943664
Condo/Co-op,4816 Glenway Ave #10,Cincinnati,OH,45238,50000,2,1.5,Covedale,882,,1983,30,57,140,Active,,,http://www.redfin.com/OH/Cincinnati/4816-Glenway-Ave-45238/unit-10/home/100972567,39.1172782,-84.5973131
Single Family Residential,5015 Casa Loma Blvd,Green Twp,OH,45238,79000,2,1.5,Green Twp.,1258,,1930,32,63,,Active,,,http://www.redfin.com/OH/Cincinnati/5015-Casa-Loma-Blvd-45238/home/78940533,39.1261247,-84.6054786
Single Family Residential,4476 Delhi Park,Delhi Twp,OH,45238,79000,3,1.5,Delhi Twp.,1243,,1939,32,64,,Active,,,http://www.redfin.com/OH/Cincinnati/5125-Foley-Rd-45238/home/76154771,39.1009744,-84.6119343
Single Family Residential,1144 Glenna Dr,Cincinnati,OH,45238,105000,2,1,Price Hill,1052,8756,1950,35,100,,Active,,,http://www.redfin.com/OH/Cincinnati/1144-Glenna-Dr-45238/home/78935480,39.1169842,-84.6104007
Single Family Residential,1333 Leders Ln,Green Twp,OH,45238,124900,3,2.5,Covedale,1616,,1939,37,77,,Active,,,http://www.redfin.com/OH/Cincinnati/1333-Leders-Ln-45238/home/78914195,39.119826,-84.608385
Single Family Residential,1333 Colonial Dr,Green Twp,OH,45238,450000,4,5.5,Green Twp.,5663,56628,1963,43,79,,Active,,,http://www.redfin.com/OH/Cincinnati/1333-Colonial-Dr-45238/home/76131801,39.1193137,-84.6151855
Single Family Residential,820 Nebraska Ave,Cincinnati,OH,45238,64900,4,1.5,Price Hill,1680,,1924,44,39,,Active,,,http://www.redfin.com/OH/Cincinnati/820-Nebraska-Ave-45238/home/100972576,39.1098642,-84.6005356
Single Family Residential,3155 Veazey Ave,Cincinnati,OH,45238,89000,3,2,Price Hill,2348,8490,1929,48,38,,Active,,,http://www.redfin.com/OH/Cincinnati/3155-Veazey-Ave-45238/home/63717340,39.131822,-84.6068424
Single Family Residential,3053 S Hegry Cir,Cincinnati,OH,45238,100000,3,1.5,Westwood,1110,6970,1941,49,90,,Active,July-28-2019 12:00 AM,July-28-2019 11:59 PM,http://www.redfin.com/OH/Cincinnati/3053-S-Hegry-Cir-45238/home/100989024,39.1300041,-84.6030835
Single Family Residential,222 Solarama Ct,Delhi Twp,OH,45238,649000,5,5,Delhi Twp.,6473,111078,1982,50,100,,Active,,,http://www.redfin.com/OH/Cincinnati/222-Solarama-Ct-45238/home/78900041,39.0873559,-84.6253878
Single Family Residential,2668 Queen City Ave,Cincinnati,OH,45238,108000,2,1.5,Westwood,1159,,,54,93,,Active,,,http://www.redfin.com/OH/Cincinnati/2668-Queen-City-Ave-45238/home/78882517,39.1309173,-84.5917257
Single Family Residential,5660 Alomar Dr,Delhi Twp,OH,45238,199900,4,2.5,Delhi Twp.,2040,,1971,56,98,,Active,,,http://www.redfin.com/OH/Cincinnati/5660-Alomar-Dr-45238/home/79783621,39.100577,-84.6345663
Single Family Residential,4974 Bonaventure Ct,Delhi Twp,OH,45238,219900,4,2.5,Delhi Twp.,1836,7841,1978,57,120,,Active,,,http://www.redfin.com/OH/Cincinnati/4974-Bonaventure-Ct-45238/home/101008077,39.0843678,-84.6076604
